#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
13.89,11,16.796147
1.97,3,16.797451
1.96,4,16.799166
5.9,10,16.802878
3.94,6,16.805114
3.95,5,16.807895
1.97,3,16.80919
3.94,6,16.811492
1.96,4,16.813631
-0.02,2,16.814741
-0.01,1,16.815237
1.94,6,16.817463
-0.02,2,16.818257
3.93,7,16.820785
1.97,3,16.822202
1.97,3,17.10036
-0.01,1,17.100877
5.93,7,17.103478
1.95,5,17.107176
3.95,5,17.109231
1.96,4,17.111432
1.97,3,17.112905
3.95,5,17.11481
13.89,11,17.11893
-0.01,1,17.119405
1.97,3,17.121098
-0.02,2,17.122132
1.97,3,17.123282
3.95,5,17.125116
1.97,3,17.126257
-0.01,1,17.126693
5.93,7,17.129214
1.96,4,17.131509
1.97,3,17.132717
1.96,4,17.134218
3.94,6,17.136391
1.96,4,17.137883
3.95,5,17.140142
1.97,3,17.141939
1.96,4,17.143694
1.97,3,17.144988
-0.01,1,17.14546
-0.02,2,17.146303
3.95,5,17.148416
-0.02,2,17.149301
5.91,9,17.152767
3.95,5,17.460215
-0.01,1,17.460877
-0.01,1,17.461447
5.93,7,17.464973
3.95,5,17.466991
1.96,4,17.468553
1.97,3,17.470401
-0.01,1,17.470964
1.94,6,17.473256
1.96,4,17.474811
3.95,5,17.476669
